Altium Designer Pick and Place Locations
E:\git_repo\USB_Oscope_STM32_H7232ZG\Altium\USB_Oscilloscope_Project\Project Outputs for Free Documents\Pick Place\Pick Place for USB_Oscilloscope.txt

========================================================================================================================
File Design Information:

Date:       02/09/26
Time:       21:35
Revision:   6d054cb0949233a85040d1abbc3744042ee04106
Variant:    No variations
Units used: mil

Designator Comment                Layer    Footprint                           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                       
D9         1N4148W-7-F            TopLayer DIOD-SOD123-2_V                     3516.142      1564.567      0        "Fast Switching Diode, 100 V, 0.15 A,?-65 to 150 degC,?2-Pin?SOD123,?RoHS,?Tape and Reel"                                                                                                                                                                         
D8         BAV99LT1G              TopLayer FP-318-08-IPC_B                     2450.788      2481.890      270      "DIODE ARRAY 100V 215MA SOT23-3"                                                                                                                                                                                                                                  
D7         BAV99LT1G              TopLayer FP-318-08-IPC_B                     2605.512      2481.504      270      "DIODE ARRAY 100V 215MA SOT23-3"                                                                                                                                                                                                                                  
D6         1N4148W-7-F            TopLayer DIOD-SOD123-2_V                     1441.338      712.598       0        "Fast Switching Diode, 100 V, 0.15 A,?-65 to 150 degC,?2-Pin?SOD123,?RoHS,?Tape and Reel"                                                                                                                                                                         
D5         SMBJ40A                TopLayer FP-SMBJ-MFG                         685.040       986.221       90       "TVS DIODE 40VWM 64.5VC DO214AA"                                                                                                                                                                                                                                  
D4         SMBJ5.0CA-13-F         TopLayer FP-SMB-CA-MFG                       1746.064      817.323       90       "TVS DIODE 5V 9.2V SMB"                                                                                                                                                                                                                                           
D3         1N4148W-7-F            TopLayer DIOD-SOD123-2_V                     1450.394      1651.968      0        "Fast Switching Diode, 100 V, 0.15 A,?-65 to 150 degC,?2-Pin?SOD123,?RoHS,?Tape and Reel"                                                                                                                                                                         
D2         SMBJ5.0CA-13-F         TopLayer FP-SMB-CA-MFG                       1731.102      1761.418      90       "TVS DIODE 5V 9.2V SMB"                                                                                                                                                                                                                                           
D1         SMBJ40A                TopLayer FP-SMBJ-MFG                         678.740       1809.843      270      "TVS DIODE 40VWM 64.5VC DO214AA"                                                                                                                                                                                                                                  
C29        0805CG6R0C500NT_C67560 TopLayer C0805                               3739.764      1100.424      270      "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C28        0805CG6R0C500NT_C67560 TopLayer C0805                               3530.286      855.512       180      "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C27        0805CG6R0C500NT_C67560 TopLayer C0805                               3419.292      1353.966      90       "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C26        0805CG6R0C500NT_C67560 TopLayer C0805                               1117.716      1396.820      270      "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C25        0805CG6R0C500NT_C67560 TopLayer C0805                               1971.260      1371.684      270      "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C24        0805CG6R0C500NT_C67560 TopLayer C0805                               2102.363      795.275       90       "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C23        TCC0805X5R226K100FT    TopLayer C0805                               2012.991      799.213       270      "Capacitance:22uF Tolerance:㊣10% Tolerance:㊣10% Voltage Rating:10V Temperature Coefficient:X5R"                                                                                                                                                                   
C22        0805CG6R0C500NT_C67560 TopLayer C0805                               2217.322      1140.522      270      "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C21        0805CG6R0C500NT_C67560 TopLayer C0805                               2113.386      1138.552      90       "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C20        0805CG6R0C500NT_C67560 TopLayer C0805                               2128.740      1680.316      90       "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C19        TCC0805X5R226K100FT    TopLayer C0805                               2032.677      1688.582      270      "Capacitance:22uF Tolerance:㊣10% Tolerance:㊣10% Voltage Rating:10V Temperature Coefficient:X5R"                                                                                                                                                                   
C16        VJ0805A100FXACW1BC     TopLayer C0805                               2450.788      764.144       90       "Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C15        Capacitor              TopLayer CAPCP2012X150N                      3195.375      1207.874      0        "Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"                                                                                                                                                                                                                                 
C14        TCC0805X5R226K100FT    TopLayer C0805                               3065.748      1255.088      270      "Capacitance:22pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C12        JZ060HV                TopLayer CAPCP4914X60N                       1092.520      734.252       270      "Variable Capacitor, 350V, 2pF Min, 6pF Max, Vertical Adjuster, Surface Mount"                                                                                                                                                                                    
C11        Capacitor              TopLayer CAPCP2012X150N                      896.752       1191.338      0        "Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"                                                                                                                                                                                                                                 
C10        0805CG6R0C500NT_C67560 TopLayer C0805                               2221.260      2073.198      90       "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C9         0805CG6R0C500NT_C67560 TopLayer C0805                               2126.378      2082.707      270      "Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"                                                                                                                                                                    
C8         0805CG6R0C500NT_C67560 TopLayer C0805                               3122.835      1622.865      270      "Capacitance:16pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C7         VJ0805A100FXACW1BC     TopLayer C0805                               2883.464      1542.126      90       "Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C6         Capacitor              TopLayer CAPCP2012X150N                      3178.839      1958.662      180      "Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"                                                                                                                                                                                                                                 
C5         TCC0805X5R226K100FT    TopLayer C0805                               3056.692      2006.664      270      "Capacitance:22pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C2         JZ060HV                TopLayer CAPCP4914X60N                       1106.300      1655.512      270      "Variable Capacitor, 350V, 2pF Min, 6pF Max, Vertical Adjuster, Surface Mount"                                                                                                                                                                                    
C1         TCC0805COG200J500BT    TopLayer CAPCP2012X150N                      910.729       2039.370      0        "Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"                                                                                                                                                                                                                                 
BNC2       BNC-KWE-6              TopLayer CONN-TH_BNC-KWE-6                   312.598       708.612       270      "Connector Type:Board Side Interface:Inner Bore Number of Ports:1 Interface Length/Height:12mm Frequency:6GHz RF Series:BNC Impedance:50次 Style:Bent tip"                                                                                                         
BNC1       BNC-KWE-6              TopLayer CONN-TH_BNC-KWE-6                   312.598       2077.116      270      "Connector Type:Board Side Interface:Inner Bore Number of Ports:1 Interface Length/Height:12mm Frequency:6GHz RF Series:BNC Impedance:50次 Style:Bent tip"                                                                                                         
