Altium Designer Pick and Place Locations
E:\git_repo\USB_Oscope_STM32_H7232ZG\Altium\USB_Oscilloscope_Project\Project Outputs for USB_Oscilloscope\Pick Place\Pick Place for USB_Oscilloscope.csv

========================================================================================================================
File Design Information:

Date:       02/09/26
Time:       22:21
Revision:   6d054cb0949233a85040d1abbc3744042ee04106
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D6","1N4148W-7-F","TopLayer","DIOD-SOD123-2_V","36.6100","18.1000","0","Fast Switching Diode, 100 V, 0.15 A,?-65 to 150 degC,?2-Pin?SOD123,?RoHS,?Tape and Reel"
"D5","SMBJ40A","TopLayer","FP-SMBJ-MFG","17.4000","25.0500","90","TVS DIODE 40VWM 64.5VC DO214AA"
"D4","SMBJ5.0CA-13-F","TopLayer","FP-SMB-CA-MFG","44.3500","20.7600","90","TVS DIODE 5V 9.2V SMB"
"D3","1N4148W-7-F","TopLayer","DIOD-SOD123-2_V","36.8400","41.9600","0","Fast Switching Diode, 100 V, 0.15 A,?-65 to 150 degC,?2-Pin?SOD123,?RoHS,?Tape and Reel"
"D2","SMBJ5.0CA-13-F","TopLayer","FP-SMB-CA-MFG","43.9700","44.7400","90","TVS DIODE 5V 9.2V SMB"
"D1","SMBJ40A","TopLayer","FP-SMBJ-MFG","17.2400","45.9700","270","TVS DIODE 40VWM 64.5VC DO214AA"
"C29","0805CG6R0C500NT_C67560","TopLayer","C0805","94.9900","27.9508","270","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C28","0805CG6R0C500NT_C67560","TopLayer","C0805","89.6693","21.7300","180","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C27","0805CG6R0C500NT_C67560","TopLayer","C0805","86.8500","34.3907","90","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C26","0805CG6R0C500NT_C67560","TopLayer","C0805","28.3900","35.4792","270","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C25","0805CG6R0C500NT_C67560","TopLayer","C0805","50.0700","34.8408","270","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C24","0805CG6R0C500NT_C67560","TopLayer","C0805","53.4000","20.2000","90","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C23","TCC0805X5R226K100FT","TopLayer","C0805","51.1300","20.3000","270","Capacitance:22uF Tolerance:㊣10% Tolerance:㊣10% Voltage Rating:10V Temperature Coefficient:X5R"
"C22","0805CG6R0C500NT_C67560","TopLayer","C0805","56.3200","28.9693","270","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C21","0805CG6R0C500NT_C67560","TopLayer","C0805","53.6800","28.9192","90","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C20","0805CG6R0C500NT_C67560","TopLayer","C0805","54.0700","42.6800","90","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C19","TCC0805X5R226K100FT","TopLayer","C0805","51.6300","42.8900","270","Capacitance:22uF Tolerance:㊣10% Tolerance:㊣10% Voltage Rating:10V Temperature Coefficient:X5R"
"C16","VJ0805A100FXACW1BC","TopLayer","C0805","62.2500","19.4093","90","Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"
"C15","Capacitor","TopLayer","CAPCP2012X150N","81.1625","30.6800","0","Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"
"C14","TCC0805X5R226K100FT","TopLayer","C0805","77.8700","31.8792","270","Capacitance:22pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"
"C12","JZ060HV","TopLayer","CAPCP4914X60N","27.7500","18.6500","270","Variable Capacitor, 350V, 2pF Min, 6pF Max, Vertical Adjuster, Surface Mount"
"C11","Capacitor","TopLayer","CAPCP2012X150N","22.7775","30.2600","0","Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"
"C10","0805CG6R0C500NT_C67560","TopLayer","C0805","56.4200","52.6592","90","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C9","0805CG6R0C500NT_C67560","TopLayer","C0805","54.0100","52.9008","270","Capacitance:100nF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:X7R"
"C8","0805CG6R0C500NT_C67560","TopLayer","C0805","79.3200","41.2208","270","Capacitance:16pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"
"C7","VJ0805A100FXACW1BC","TopLayer","C0805","73.2400","39.1700","90","Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"
"C6","Capacitor","TopLayer","CAPCP2012X150N","80.7425","49.7500","180","Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"
"C5","TCC0805X5R226K100FT","TopLayer","C0805","77.6400","50.9693","270","Capacitance:22pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"
"C2","JZ060HV","TopLayer","CAPCP4914X60N","28.1000","42.0500","270","Variable Capacitor, 350V, 2pF Min, 6pF Max, Vertical Adjuster, Surface Mount"
"C1","TCC0805COG200J500BT","TopLayer","CAPCP2012X150N","23.1325","51.8000","0","Mlcc 20PF ㊣5% C0G(NP0) 50V 0805"
"BNC2","BNC-KWE-6","TopLayer","CONN-TH_BNC-KWE-6","7.9400","17.9987","270","Connector Type:Board Side Interface:Inner Bore Number of Ports:1 Interface Length/Height:12mm Frequency:6GHz RF Series:BNC Impedance:50次 Style:Bent tip"
"BNC1","BNC-KWE-6","TopLayer","CONN-TH_BNC-KWE-6","7.9400","52.7588","270","Connector Type:Board Side Interface:Inner Bore Number of Ports:1 Interface Length/Height:12mm Frequency:6GHz RF Series:BNC Impedance:50次 Style:Bent tip"
